




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endoplasmic reticulum to cytosol transport (GO:1903513)	19	15	7.55	+	1.99	6.51E-04	6.57E-03
positive regulation of chromosome separation (GO:1905820)	33	26	13.11	+	1.98	6.74E-06	1.12E-04
regulation of spindle checkpoint (GO:0090231)	33	26	13.11	+	1.98	6.74E-06	1.12E-04
kinetochore organization (GO:0051383)	33	26	13.11	+	1.98	6.74E-06	1.12E-04
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	33	26	13.11	+	1.98	6.74E-06	1.12E-04
protein monoubiquitination (GO:0006513)	47	37	18.67	+	1.98	7.87E-08	1.86E-06
regulation of mammary gland epithelial cell proliferation (GO:0033599)	14	11	5.56	+	1.98	4.49E-03	3.42E-02
lymphangiogenesis (GO:0001946)	14	11	5.56	+	1.98	4.49E-03	3.42E-02
positive regulation of receptor recycling (GO:0001921)	14	11	5.56	+	1.98	4.49E-03	3.42E-02
neural crest formation (GO:0014029)	14	11	5.56	+	1.98	4.49E-03	3.42E-02
positive regulation of DNA-templated DNA replication (GO:2000105)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
spindle midzone assembly (GO:0051255)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
membrane protein intracellular domain proteolysis (GO:0031293)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
protein localization to endosome (GO:0036010)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
endoplasmic reticulum mannose trimming (GO:1904380)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
fatty acid elongation (GO:0030497)	14	11	5.56	+	1.98	4.49E-03	3.41E-02
