




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of DNA replication (GO:0045740)	42	33	16.69	+	1.98	5.53E-07	1.13E-05
regulation of sister chromatid segregation (GO:0033045)	116	91	46.09	+	1.97	2.39E-17	1.51E-15
axonal fasciculation (GO:0007413)	23	18	9.14	+	1.97	3.34E-04	3.77E-03
nuclear DNA replication (GO:0033260)	23	18	9.14	+	1.97	3.34E-04	3.76E-03
neuron projection fasciculation (GO:0106030)	23	18	9.14	+	1.97	3.34E-04	3.76E-03
regulation of vascular associated smooth muscle cell migration (GO:1904752)	23	18	9.14	+	1.97	3.34E-04	3.76E-03
amyloid-beta metabolic process (GO:0050435)	23	18	9.14	+	1.97	3.34E-04	3.76E-03
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	32	25	12.71	+	1.97	1.30E-05	2.04E-04
positive regulation of cell-substrate junction organization (GO:0150117)	32	25	12.71	+	1.97	1.30E-05	2.04E-04
regulation of mitotic spindle checkpoint (GO:1903504)	32	25	12.71	+	1.97	1.30E-05	2.04E-04
regulation of cell cycle checkpoint (GO:1901976)	59	46	23.44	+	1.96	3.38E-09	9.74E-08
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	104	81	41.32	+	1.96	3.75E-15	1.98E-13
response to lead ion (GO:0010288)	18	14	7.15	+	1.96	1.29E-03	1.19E-02
host-mediated activation of viral transcription (GO:0043923)	18	14	7.15	+	1.96	1.29E-03	1.19E-02
regulation of smooth muscle cell differentiation (GO:0051150)	36	28	14.30	+	1.96	4.04E-06	6.96E-05
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	27	21	10.73	+	1.96	8.63E-05	1.14E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	134	104	53.24	+	1.95	5.84E-19	4.02E-17
regulation of smooth muscle cell migration (GO:0014910)	58	45	23.04	+	1.95	6.28E-09	1.74E-07
negative regulation of syncytium formation by plasma membrane fusion (GO:0034242)	49	38	19.47	+	1.95	8.56E-08	2.01E-06
positive regulation of microtubule polymerization (GO:0031116)	31	24	12.32	+	1.95	2.51E-05	3.71E-04
sphingosine metabolic process (GO:0006670)	22	17	8.74	+	1.94	6.10E-04	6.31E-03
glomerulus vasculature development (GO:0072012)	22	17	8.74	+	1.94	6.10E-04	6.30E-03
negative regulation of telomere maintenance via telomerase (GO:0032211)	22	17	8.74	+	1.94	6.10E-04	6.30E-03
regulation of cellular response to hypoxia (GO:1900037)	22	17	8.74	+	1.94	6.10E-04	6.29E-03
positive regulation of viral life cycle (GO:1903902)	22	17	8.74	+	1.94	6.10E-04	6.29E-03
hippo signaling (GO:0035329)	22	17	8.74	+	1.94	6.10E-04	6.28E-03
regulation of protein export from nucleus (GO:0046825)	35	27	13.91	+	1.94	1.30E-05	2.04E-04
negative regulation of myoblast fusion (GO:1901740)	48	37	19.07	+	1.94	1.65E-07	3.69E-06
regulation of chromosome segregation (GO:0051983)	143	110	56.82	+	1.94	1.55E-19	1.12E-17
positive regulation of vacuole organization (GO:0044090)	26	20	10.33	+	1.94	1.63E-04	2.01E-03
regulation of ERAD pathway (GO:1904292)	26	20	10.33	+	1.94	1.63E-04	2.01E-03
mitotic G2/M transition checkpoint (GO:0044818)	56	43	22.25	+	1.93	2.20E-08	5.62E-07
cell-substrate junction organization (GO:0150115)	43	33	17.09	+	1.93	1.01E-06	1.98E-05
regulation of ferroptosis (GO:0110075)	30	23	11.92	+	1.93	4.82E-05	6.73E-04
negative regulation of DNA biosynthetic process (GO:2000279)	30	23	11.92	+	1.93	4.82E-05	6.72E-04
response to arsenic-containing substance (GO:0046685)	30	23	11.92	+	1.93	4.82E-05	6.71E-04
regulation of DNA strand elongation (GO:0060382)	17	13	6.75	+	1.92	2.52E-03	2.11E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	17	13	6.75	+	1.92	2.52E-03	2.10E-02
protein deglycosylation (GO:0006517)	17	13	6.75	+	1.92	2.52E-03	2.10E-02
negative regulation of necroptotic process (GO:0060546)	17	13	6.75	+	1.92	2.52E-03	2.10E-02
positive regulation of autophagosome assembly (GO:2000786)	21	16	8.34	+	1.92	1.12E-03	1.05E-02
TORC1 signaling (GO:0038202)	21	16	8.34	+	1.92	1.12E-03	1.05E-02
peptidyl-threonine modification (GO:0018210)	21	16	8.34	+	1.92	1.12E-03	1.05E-02
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	42	32	16.69	+	1.92	1.91E-06	3.48E-05
peptidyl-threonine phosphorylation (GO:0018107)	21	16	8.34	+	1.92	1.12E-03	1.05E-02
substrate-dependent cell migration (GO:0006929)	25	19	9.93	+	1.91	3.06E-04	3.51E-03
regulation of DNA damage checkpoint (GO:2000001)	25	19	9.93	+	1.91	3.06E-04	3.51E-03
cellular response to platelet-derived growth factor stimulus (GO:0036120)	25	19	9.93	+	1.91	3.06E-04	3.50E-03
cardiac muscle tissue growth (GO:0055017)	25	19	9.93	+	1.91	3.06E-04	3.50E-03
cellular response to glucose starvation (GO:0042149)	50	38	19.87	+	1.91	2.58E-07	5.60E-06
epithelial cell apoptotic process (GO:1904019)	25	19	9.93	+	1.91	3.06E-04	3.50E-03
negative regulation of miRNA metabolic process (GO:2000629)	29	22	11.52	+	1.91	9.22E-05	1.21E-03
kinetochore assembly (GO:0051382)	29	22	11.52	+	1.91	9.22E-05	1.21E-03
negative regulation of fibroblast proliferation (GO:0048147)	29	22	11.52	+	1.91	9.22E-05	1.21E-03
mitotic cell cycle checkpoint signaling (GO:0007093)	120	91	47.68	+	1.91	9.29E-16	5.08E-14
regulation of focal adhesion assembly (GO:0051893)	66	50	26.22	+	1.91	3.22E-09	9.31E-08
regulation of cell-substrate junction assembly (GO:0090109)	66	50	26.22	+	1.91	3.22E-09	9.29E-08
cell-substrate junction assembly (GO:0007044)	41	31	16.29	+	1.90	3.61E-06	6.26E-05
cellular response to fluid shear stress (GO:0071498)	45	34	17.88	+	1.90	1.67E-06	3.11E-05
regulation of blood vessel endothelial cell migration (GO:0043535)	94	71	37.35	+	1.90	2.90E-12	1.18E-10
mitotic cytokinesis (GO:0000281)	89	67	35.36	+	1.89	1.06E-11	4.07E-10
positive regulation of endothelial cell migration (GO:0010595)	109	82	43.31	+	1.89	6.18E-14	3.02E-12
receptor recycling (GO:0001881)	24	18	9.54	+	1.89	5.75E-04	6.02E-03
cell cycle DNA replication (GO:0044786)	24	18	9.54	+	1.89	5.75E-04	6.02E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	72	54	28.61	+	1.89	1.50E-09	4.45E-08
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	44	33	17.48	+	1.89	3.00E-06	5.29E-05
aorta morphogenesis (GO:0035909)	32	24	12.71	+	1.89	7.59E-05	1.02E-03
amyloid precursor protein metabolic process (GO:0042982)	24	18	9.54	+	1.89	5.75E-04	6.01E-03
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	32	24	12.71	+	1.89	7.59E-05	1.01E-03
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	24	18	9.54	+	1.89	5.75E-04	6.01E-03
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	36	27	14.30	+	1.89	2.19E-05	3.29E-04
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	24	18	9.54	+	1.89	5.75E-04	6.00E-03
reticulophagy (GO:0061709)	24	18	9.54	+	1.89	5.75E-04	6.00E-03
microtubule polymerization (GO:0046785)	48	36	19.07	+	1.89	8.77E-07	1.74E-05
embryonic hemopoiesis (GO:0035162)	24	18	9.54	+	1.89	5.75E-04	6.00E-03
sphingoid metabolic process (GO:0046519)	24	18	9.54	+	1.89	5.75E-04	5.99E-03
negative regulation of smoothened signaling pathway (GO:0045879)	36	27	14.30	+	1.89	2.19E-05	3.29E-04
Golgi to endosome transport (GO:0006895)	20	15	7.95	+	1.89	2.04E-03	1.76E-02
negative regulation of fat cell differentiation (GO:0045599)	60	45	23.84	+	1.89	3.59E-08	8.93E-07
negative regulation of transcription elongation by RNA polymerase II (GO:0034244)	20	15	7.95	+	1.89	2.04E-03	1.76E-02
spindle organization (GO:0007051)	174	130	69.13	+	1.88	7.46E-21	5.86E-19
negative regulation of chromosome organization (GO:2001251)	79	59	31.39	+	1.88	3.83E-10	1.22E-08
mitotic spindle assembly (GO:0090307)	51	38	20.26	+	1.88	7.94E-07	1.59E-05
tRNA aminoacylation (GO:0043039)	47	35	18.67	+	1.87	1.62E-06	3.02E-05
glial cell migration (GO:0008347)	43	32	17.09	+	1.87	5.41E-06	9.12E-05
peptidyl-serine phosphorylation (GO:0018105)	39	29	15.50	+	1.87	1.96E-05	2.98E-04
non-canonical NF-kappaB signal transduction (GO:0038061)	35	26	13.91	+	1.87	4.06E-05	5.79E-04
attachment of spindle microtubules to kinetochore (GO:0008608)	35	26	13.91	+	1.87	4.06E-05	5.78E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	105	78	41.72	+	1.87	6.99E-13	3.08E-11
regulation of extracellular matrix organization (GO:1903053)	62	46	24.63	+	1.87	5.74E-08	1.39E-06
mitotic sister chromatid segregation (GO:0000070)	147	109	58.41	+	1.87	2.42E-17	1.52E-15
cell cycle G2/M phase transition (GO:0044839)	58	43	23.04	+	1.87	1.22E-07	2.81E-06
negative regulation of miRNA transcription (GO:1902894)	27	20	10.73	+	1.86	5.06E-04	5.45E-03
regulation of integrin-mediated signaling pathway (GO:2001044)	23	17	9.14	+	1.86	1.07E-03	1.02E-02
cytokinetic process (GO:0032506)	46	34	18.28	+	1.86	2.99E-06	5.27E-05
interleukin-1-mediated signaling pathway (GO:0070498)	23	17	9.14	+	1.86	1.07E-03	1.02E-02
neuronal stem cell population maintenance (GO:0097150)	23	17	9.14	+	1.86	1.07E-03	1.02E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	118	87	46.88	+	1.86	7.77E-14	3.78E-12
regulation of stress-activated MAPK cascade (GO:0032872)	38	28	15.10	+	1.85	3.44E-05	4.94E-04
mitotic DNA integrity checkpoint signaling (GO:0044774)	76	56	30.20	+	1.85	2.25E-09	6.59E-08
stress fiber assembly (GO:0043149)	19	14	7.55	+	1.85	3.73E-03	2.96E-02
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	19	14	7.55	+	1.85	3.73E-03	2.96E-02
regulation of microtubule nucleation (GO:0010968)	19	14	7.55	+	1.85	3.73E-03	2.95E-02
regulation of receptor clustering (GO:1903909)	19	14	7.55	+	1.85	3.73E-03	2.95E-02
contractile actin filament bundle assembly (GO:0030038)	19	14	7.55	+	1.85	3.73E-03	2.95E-02
cellular response to amino acid starvation (GO:0034198)	53	39	21.06	+	1.85	7.17E-07	1.45E-05
G2/M transition of mitotic cell cycle (GO:0000086)	53	39	21.06	+	1.85	7.17E-07	1.44E-05
centrosome cycle (GO:0007098)	102	75	40.53	+	1.85	6.19E-12	2.47E-10
sister chromatid segregation (GO:0000819)	151	111	60.00	+	1.85	3.58E-17	2.21E-15
ventricular septum morphogenesis (GO:0060412)	45	33	17.88	+	1.85	9.00E-06	1.47E-04
regulation of telomere maintenance via telomerase (GO:0032210)	45	33	17.88	+	1.85	9.00E-06	1.46E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991)	161	118	63.97	+	1.84	8.02E-18	5.21E-16
regulation of response to endoplasmic reticulum stress (GO:1905897)	97	71	38.54	+	1.84	3.87E-11	1.39E-09
peptidyl-serine modification (GO:0018209)	41	30	16.29	+	1.84	1.76E-05	2.70E-04
lung morphogenesis (GO:0060425)	52	38	20.66	+	1.84	1.30E-06	2.49E-05
DNA synthesis involved in DNA replication (GO:0090592)	26	19	10.33	+	1.84	8.88E-04	8.65E-03
smooth muscle tissue development (GO:0048745)	26	19	10.33	+	1.84	8.88E-04	8.64E-03
DNA replication checkpoint signaling (GO:0000076)	26	19	10.33	+	1.84	8.88E-04	8.64E-03
protein refolding (GO:0042026)	26	19	10.33	+	1.84	8.88E-04	8.63E-03
negative regulation of ERBB signaling pathway (GO:1901185)	37	27	14.70	+	1.84	6.05E-05	8.24E-04
regulation of G0 to G1 transition (GO:0070316)	37	27	14.70	+	1.84	6.05E-05	8.23E-04
regulation of cell-substrate junction organization (GO:0150116)	74	54	29.40	+	1.84	1.24E-08	3.26E-07
amino acid activation (GO:0043038)	48	35	19.07	+	1.84	4.31E-06	7.37E-05
spindle assembly (GO:0051225)	107	78	42.51	+	1.83	4.91E-12	1.97E-10
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	81	59	32.18	+	1.83	1.79E-09	5.28E-08
positive regulation of mitotic sister chromatid separation (GO:1901970)	22	16	8.74	+	1.83	1.98E-03	1.72E-02
tRNA aminoacylation for protein translation (GO:0006418)	44	32	17.48	+	1.83	1.54E-05	2.38E-04
cellular response to dsRNA (GO:0071359)	22	16	8.74	+	1.83	1.98E-03	1.72E-02
negative regulation of neural precursor cell proliferation (GO:2000178)	22	16	8.74	+	1.83	1.98E-03	1.72E-02
response to interleukin-7 (GO:0098760)	22	16	8.74	+	1.83	1.98E-03	1.72E-02
positive regulation of bone mineralization (GO:0030501)	44	32	17.48	+	1.83	1.54E-05	2.38E-04
positive regulation of ossification (GO:0045778)	55	40	21.85	+	1.83	1.09E-06	2.14E-05
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	33	24	13.11	+	1.83	2.23E-04	2.68E-03
protein targeting to lysosome (GO:0006622)	33	24	13.11	+	1.83	2.23E-04	2.68E-03
response to amino acid starvation (GO:1990928)	55	40	21.85	+	1.83	1.09E-06	2.13E-05
regulation of mitotic nuclear division (GO:0007088)	128	93	50.86	+	1.83	4.90E-14	2.40E-12
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	73	53	29.00	+	1.83	2.09E-08	5.36E-07
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	40	29	15.89	+	1.82	3.18E-05	4.58E-04
cell cycle checkpoint signaling (GO:0000075)	160	116	63.57	+	1.82	4.02E-17	2.46E-15
host-mediated perturbation of viral transcription (GO:0043921)	29	21	11.52	+	1.82	4.49E-04	4.91E-03
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	29	21	11.52	+	1.82	4.49E-04	4.90E-03
microtubule polymerization or depolymerization (GO:0031109)	65	47	25.83	+	1.82	1.39E-07	3.15E-06
DNA-templated DNA replication (GO:0006261)	148	107	58.80	+	1.82	1.52E-15	8.18E-14
negative regulation of anoikis (GO:2000811)	18	13	7.15	+	1.82	6.77E-03	4.84E-02
negative regulation of cell junction assembly (GO:1901889)	36	26	14.30	+	1.82	1.06E-04	1.37E-03
p38MAPK cascade (GO:0038066)	18	13	7.15	+	1.82	6.77E-03	4.84E-02
cellular response to reactive nitrogen species (GO:1902170)	18	13	7.15	+	1.82	6.77E-03	4.84E-02
termination of RNA polymerase III transcription (GO:0006386)	18	13	7.15	+	1.82	6.77E-03	4.84E-02
2-oxoglutarate metabolic process (GO:0006103)	18	13	7.15	+	1.82	6.77E-03	4.83E-02
anatomical structure arrangement (GO:0048532)	18	13	7.15	+	1.82	6.77E-03	4.83E-02
negative regulation of blood vessel endothelial cell migration (GO:0043537)	36	26	14.30	+	1.82	1.06E-04	1.37E-03
RNA capping (GO:0036260)	18	13	7.15	+	1.82	6.77E-03	4.83E-02
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	18	13	7.15	+	1.82	6.77E-03	4.83E-02
piecemeal microautophagy of the nucleus (GO:0034727)	18	13	7.15	+	1.82	6.77E-03	4.82E-02
axonal transport of mitochondrion (GO:0019896)	18	13	7.15	+	1.82	6.77E-03	4.82E-02
morphogenesis of an epithelial sheet (GO:0002011)	54	39	21.46	+	1.82	1.89E-06	3.45E-05
positive regulation of interferon-beta production (GO:0032728)	43	31	17.09	+	1.81	2.64E-05	3.87E-04
negative regulation of cell cycle G2/M phase transition (GO:1902750)	75	54	29.80	+	1.81	1.82E-08	4.70E-07
hyperosmotic response (GO:0006972)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
negative regulation of SMAD protein signal transduction (GO:0060392)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
platelet dense granule organization (GO:0060155)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
lysosomal lumen acidification (GO:0007042)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
modulation by symbiont of entry into host (GO:0052372)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
meiotic spindle organization (GO:0000212)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
regulation of cardiocyte differentiation (GO:1905207)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
negative regulation of hippo signaling (GO:0035331)	25	18	9.93	+	1.81	1.56E-03	1.41E-02
translesion synthesis (GO:0019985)	25	18	9.93	+	1.81	1.56E-03	1.40E-02
regulation of centriole replication (GO:0046599)	25	18	9.93	+	1.81	1.56E-03	1.40E-02
mitotic nuclear division (GO:0140014)	171	123	67.94	+	1.81	1.33E-17	8.52E-16
mitotic cytokinetic process (GO:1902410)	32	23	12.71	+	1.81	3.81E-04	4.23E-03
negative regulation of microtubule depolymerization (GO:0007026)	32	23	12.71	+	1.81	3.81E-04	4.22E-03
negative regulation of RNA splicing (GO:0033119)	39	28	15.50	+	1.81	5.72E-05	7.82E-04
aortic valve morphogenesis (GO:0003180)	39	28	15.50	+	1.81	5.72E-05	7.82E-04
regulation of hippo signaling (GO:0035330)	46	33	18.28	+	1.81	1.35E-05	2.10E-04
response to fluid shear stress (GO:0034405)	60	43	23.84	+	1.80	8.28E-07	1.65E-05
microtubule organizing center organization (GO:0031023)	116	83	46.09	+	1.80	4.97E-12	1.99E-10
mitotic cell cycle process (GO:1903047)	508	363	201.84	+	1.80	1.93E-48	5.10E-46
telencephalon glial cell migration (GO:0022030)	28	20	11.13	+	1.80	8.05E-04	7.95E-03
positive regulation of extracellular matrix organization (GO:1903055)	28	20	11.13	+	1.80	8.05E-04	7.94E-03
nuclear migration (GO:0007097)	28	20	11.13	+	1.80	8.05E-04	7.94E-03
neurotrophin signaling pathway (GO:0038179)	28	20	11.13	+	1.80	8.05E-04	7.93E-03
miRNA-mediated post-transcriptional gene silencing (GO:0035195)	28	20	11.13	+	1.80	8.05E-04	7.93E-03
cerebral cortex radial glia-guided migration (GO:0021801)	28	20	11.13	+	1.80	8.05E-04	7.92E-03
regulation of interferon-beta production (GO:0032648)	63	45	25.03	+	1.80	4.23E-07	8.93E-06
DNA damage tolerance (GO:0006301)	35	25	13.91	+	1.80	1.87E-04	2.28E-03
regulation of chromosome organization (GO:0033044)	252	180	100.13	+	1.80	1.72E-24	1.65E-22
regulation of erythrocyte differentiation (GO:0045646)	49	35	19.47	+	1.80	1.15E-05	1.83E-04
protein targeting to vacuole (GO:0006623)	49	35	19.47	+	1.80	1.15E-05	1.83E-04
vascular endothelial growth factor signaling pathway (GO:0038084)	21	15	8.34	+	1.80	5.82E-03	4.23E-02
positive regulation of chondrocyte differentiation (GO:0032332)	21	15	8.34	+	1.80	5.82E-03	4.23E-02
cellular response to interleukin-7 (GO:0098761)	21	15	8.34	+	1.80	5.82E-03	4.23E-02
DNA-templated DNA replication maintenance of fidelity (GO:0045005)	66	47	26.22	+	1.79	3.63E-07	7.75E-06
replication fork processing (GO:0031297)	59	42	23.44	+	1.79	1.41E-06	2.69E-05
positive regulation of chromosome organization (GO:2001252)	104	74	41.32	+	1.79	1.12E-10	3.81E-09
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	45	32	17.88	+	1.79	2.38E-05	3.53E-04
aortic valve development (GO:0003176)	45	32	17.88	+	1.79	2.38E-05	3.53E-04
epithelial to mesenchymal transition (GO:0001837)	83	59	32.98	+	1.79	1.18E-08	3.14E-07
regulation of DNA biosynthetic process (GO:2000278)	83	59	32.98	+	1.79	1.18E-08	3.14E-07
host-mediated activation of viral process (GO:0044794)	38	27	15.10	+	1.79	1.63E-04	2.01E-03
regulation of microtubule depolymerization (GO:0031114)	38	27	15.10	+	1.79	1.63E-04	2.01E-03
regulation of vascular endothelial growth factor signaling pathway (GO:1900746)	31	22	12.32	+	1.79	6.50E-04	6.60E-03
cellular response to hydrogen peroxide (GO:0070301)	62	44	24.63	+	1.79	7.41E-07	1.49E-05
motor behavior (GO:0061744)	31	22	12.32	+	1.79	6.50E-04	6.59E-03
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	55	39	21.85	+	1.78	5.00E-06	8.46E-05
mitotic sister chromatid cohesion (GO:0007064)	24	17	9.54	+	1.78	2.73E-03	2.25E-02
response to salt (GO:1902074)	24	17	9.54	+	1.78	2.73E-03	2.24E-02
Rac protein signal transduction (GO:0016601)	24	17	9.54	+	1.78	2.73E-03	2.24E-02
calcineurin-mediated signaling (GO:0097720)	24	17	9.54	+	1.78	2.73E-03	2.24E-02
muscle cell migration (GO:0014812)	24	17	9.54	+	1.78	2.73E-03	2.24E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	41	29	16.29	+	1.78	7.82E-05	1.04E-03
tricarboxylic acid cycle (GO:0006099)	34	24	13.51	+	1.78	3.28E-04	3.70E-03
DNA damage checkpoint signaling (GO:0000077)	102	72	40.53	+	1.78	3.29E-10	1.05E-08
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	51	36	20.26	+	1.78	9.89E-06	1.60E-04
extracellular matrix assembly (GO:0085029)	34	24	13.51	+	1.78	3.28E-04	3.70E-03
protein localization to chromosome (GO:0034502)	85	60	33.77	+	1.78	1.01E-08	2.71E-07
positive regulation of viral process (GO:0048524)	61	43	24.24	+	1.77	1.30E-06	2.49E-05
negative regulation of mitotic cell cycle (GO:0045930)	210	148	83.44	+	1.77	1.86E-19	1.33E-17
positive regulation of DNA biosynthetic process (GO:2000573)	44	31	17.48	+	1.77	4.18E-05	5.93E-04
negative chemotaxis (GO:0050919)	44	31	17.48	+	1.77	4.18E-05	5.92E-04
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	44	31	17.48	+	1.77	4.18E-05	5.91E-04
heart growth (GO:0060419)	27	19	10.73	+	1.77	1.44E-03	1.32E-02
regulation of autophagy of mitochondrion (GO:1903146)	54	38	21.46	+	1.77	8.29E-06	1.36E-04
regulation of cholesterol biosynthetic process (GO:0045540)	27	19	10.73	+	1.77	1.44E-03	1.32E-02
lymph vessel development (GO:0001945)	27	19	10.73	+	1.77	1.44E-03	1.32E-02
transcription initiation at RNA polymerase III promoter (GO:0006384)	27	19	10.73	+	1.77	1.44E-03	1.32E-02
regulation of sterol biosynthetic process (GO:0106118)	27	19	10.73	+	1.77	1.44E-03	1.31E-02
response to platelet-derived growth factor (GO:0036119)	27	19	10.73	+	1.77	1.44E-03	1.31E-02
presynaptic endocytosis (GO:0140238)	57	40	22.65	+	1.77	4.13E-06	7.10E-05
DNA integrity checkpoint signaling (GO:0031570)	114	80	45.30	+	1.77	5.99E-11	2.10E-09
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	57	40	22.65	+	1.77	4.13E-06	7.09E-05
positive regulation of mitotic cell cycle (GO:0045931)	124	87	49.27	+	1.77	7.89E-12	3.10E-10
regulation of stem cell differentiation (GO:2000736)	77	54	30.59	+	1.77	1.15E-07	2.65E-06
regulation of DNA replication (GO:0006275)	127	89	50.46	+	1.76	6.74E-12	2.66E-10
cytokinesis (GO:0000910)	120	84	47.68	+	1.76	2.57E-11	9.47E-10
establishment of mitotic spindle localization (GO:0040001)	40	28	15.89	+	1.76	1.35E-04	1.69E-03
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	40	28	15.89	+	1.76	1.35E-04	1.69E-03
protein localization to cell surface (GO:0034394)	30	21	11.92	+	1.76	1.11E-03	1.05E-02
negative regulation of cartilage development (GO:0061037)	30	21	11.92	+	1.76	1.11E-03	1.05E-02
response to unfolded protein (GO:0006986)	133	93	52.84	+	1.76	2.96E-12	1.20E-10
centrosome duplication (GO:0051298)	43	30	17.09	+	1.76	1.15E-04	1.47E-03
mitotic cell cycle (GO:0000278)	585	408	232.44	+	1.76	4.84E-50	1.35E-47
phosphatidic acid biosynthetic process (GO:0006654)	33	23	13.11	+	1.75	5.73E-04	6.03E-03
response to progesterone (GO:0032570)	33	23	13.11	+	1.75	5.73E-04	6.03E-03
nucleus localization (GO:0051647)	33	23	13.11	+	1.75	5.73E-04	6.02E-03
positive regulation of ERBB signaling pathway (GO:1901186)	33	23	13.11	+	1.75	5.73E-04	6.02E-03
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	33	23	13.11	+	1.75	5.73E-04	6.02E-03
positive regulation of cartilage development (GO:0061036)	33	23	13.11	+	1.75	5.73E-04	6.01E-03
positive regulation of TORC1 signaling (GO:1904263)	56	39	22.25	+	1.75	7.08E-06	1.17E-04
DNA replication (GO:0006260)	237	165	94.17	+	1.75	1.28E-20	9.88E-19
regulation of endothelial cell migration (GO:0010594)	171	119	67.94	+	1.75	3.84E-15	2.01E-13
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	80	45.69	+	1.75	1.44E-10	4.81E-09
regulation of macrophage differentiation (GO:0045649)	23	16	9.14	+	1.75	4.75E-03	3.58E-02
negative regulation of stem cell differentiation (GO:2000737)	23	16	9.14	+	1.75	4.75E-03	3.57E-02
one-carbon metabolic process (GO:0006730)	23	16	9.14	+	1.75	4.75E-03	3.57E-02
nucleophagy (GO:0044804)	23	16	9.14	+	1.75	4.75E-03	3.57E-02
ERBB2 signaling pathway (GO:0038128)	23	16	9.14	+	1.75	4.75E-03	3.57E-02
